liberia,national,deaths,13,4/18/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/18th%20%20april%202014%20pdf%281%29_0.pdf
liberia,national,cases,27,4/21/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef-liberia%20sitrep%20%2318%20ebola%20viral%20disease%2021%20april%202014_2.pdf
liberia,national,confirmed cases,6,4/21/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef-liberia%20sitrep%20%2318%20ebola%20viral%20disease%2021%20april%202014_2.pdf
liberia,national,deaths,13,4/21/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef-liberia%20sitrep%20%2318%20ebola%20viral%20disease%2021%20april%202014_2.pdf
liberia,bong county,cases,6,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,bong county,deaths,0,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,grand cape mount,cases,1,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,grand cape mount,deaths,0,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,grand gedeh,cases,3,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,grand gedeh,deaths,0,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,lofa county,cases,11,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,lofa county,deaths,7,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,margibi county,cases,4,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,margibi county,deaths,3,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,montserrado county,cases,3,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,montserrado county,deaths,1,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,national,cases,35,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
liberia,national,confirmed cases,6,4/23/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/24_april_ebola%20viral%20disease-sit%20rep-%2016-%2024th%20%20april%202014_1.pdf
